lake_id,date,lake_area_km2
L1,2025-11-10,1.079993601576113
L1,2025-11-17,1.1249936015761128
L1,2025-11-24,1.2014936015761126
L1,2025-12-01,1.3000436015761125
L1,2025-12-08,1.4140286015761125
L1,2025-12-15,1.5388181015761124
L1,2025-12-22,1.5949623577046346
L1,2025-12-29,1.6792633369946002
L1,2026-01-05,1.6932740224975762
L1,2026-01-12,1.7196847469170096
L1,2026-01-19,1.7232690468696346
L1,2026-01-26,1.680778056836472
L1,2026-02-02,1.6060343638132584
L1,2026-02-09,1.5087137786970088
L1,2026-02-16,1.395589369115634
L1,2026-02-23,1.2972790006302417
L1,2026-03-02,1.1834617426904672
L1,2026-03-09,1.0587896621326252
L1,2026-03-16,0.9265192057421356
L1,2026-03-23,0.798563444019495
L2,2025-11-10,2.3936150435791017
L2,2025-11-17,2.424338341532898
L2,2025-11-24,2.4008446501005554
L2,2025-12-01,2.339399066097916
L2,2025-12-08,2.341387157296068
L2,2025-12-15,2.3877788211347744
L2,2025-12-22,2.465252985821869
L2,2025-12-29,2.4744849011028354
L2,2026-01-05,2.5259472417995115
L2,2026-01-12,2.5579536789094868
L2,2026-01-19,2.5418432121679904
L2,2026-01-26,2.485565885448943
L2,2026-02-02,2.40117175674561
L2,2026-02-09,2.297095866653277
L2,2026-02-16,2.1792427435886434
L2,2026-02-23,2.0517455574434003
L2,2026-03-02,1.9174975271417298
L2,2026-03-09,1.7963088884829341
L2,2026-03-16,1.6664768414217772
L2,2026-03-23,1.5305944084789673
L3,2025-11-10,1.0
L3,2025-11-17,1.0
L3,2025-11-24,1.0
L3,2025-12-01,1.0
L3,2025-12-08,1.0
L3,2025-12-15,1.0
L3,2025-12-22,1.0
L3,2025-12-29,1.0
L3,2026-01-05,1.0
L3,2026-01-12,1.0
L3,2026-01-19,1.0
L3,2026-01-26,1.0
L3,2026-02-02,1.0
L3,2026-02-09,1.0
L3,2026-02-16,1.0
L3,2026-02-23,1.0
L3,2026-03-02,1.0
L3,2026-03-09,1.0
L3,2026-03-16,1.0
L3,2026-03-23,1.0
L4,2025-11-10,1.8544419351701473
L4,2025-11-17,1.8831093546191031
L4,2025-11-24,1.858176548233372
L4,2025-12-01,1.7957235837633605
L4,2025-12-08,1.7970065086343523
L4,2025-12-15,1.8429045560440465
L4,2025-12-22,1.8300331892308326
L4,2025-12-29,1.7760232324615828
L4,2026-01-05,1.7096952705513024
L4,2026-01-12,1.6814769695265224
L4,2026-01-19,1.6167241588091765
L4,2026-01-26,1.5263971913070344
L4,2026-02-02,1.4181683140555348
L4,2026-02-09,1.297408099979485
L4,2026-02-16,1.1678759501262503
L4,2026-02-23,1.032203445228986
L4,2026-03-02,0.892232691800901
L4,2026-03-09,0.7492531644012415
L4,2026-03-16,0.6144772150808689
L4,2026-03-23,0.5201340505566082
