date,lake_id,lake_area_km2
2025-11-03,L1,1.3491052249158073
2025-11-10,L1,1.5027583966623268
2025-11-17,L1,1.6564115684088463
2025-11-24,L1,1.7621360573234555
2025-12-01,L1,1.9349720993019854
2025-12-08,L1,2.2175114274977243
2025-12-15,L1,2.0702293456388685
2025-12-22,L1,2.247392067188846
2025-12-29,L1,2.176927200386825
2025-11-03,L2,2.801180135948181
2025-11-10,L2,2.9420792378855536
2025-11-17,L2,3.082978339822926
2025-11-24,L2,2.5576826849207857
2025-12-01,L2,2.596954130786911
2025-12-08,L2,3.3923803447770062
2025-12-15,L2,4.551585325855599
2025-12-22,L2,5.5291212807678525
2025-12-29,L2,4.686580766401343
2025-11-03,L3,0.8117899820038141
2025-11-10,L3,0.7216587497653812
2025-11-17,L3,0.6315275175269482
2025-11-24,L3,0.6772804958851485
2025-12-01,L3,0.8227052341816822
2025-12-08,L3,1.0612724470596913
2025-12-15,L3,1.1576884415799809
2025-12-22,L3,1.1450031325724783
2025-12-29,L3,1.225313877206441
2025-11-03,L4,2.92776642427457
2025-11-10,L4,2.954073020813994
2025-11-17,L4,2.980379617353418
2025-11-24,L4,2.7581106611186423
2025-12-01,L4,2.260959555570242
2025-12-08,L4,2.2314298822221397
2025-12-15,L4,2.9444037903879603
2025-12-22,L4,3.2202084767313663
2025-12-29,L4,3.0049830842091425
