date,lake_id,lake_area_km2,temperature,precipitation,area_lag_1,area_lag_2,area_lag_3,area_change,growth_rate,growth_acceleration,area_rolling_mean_3,area_rolling_std_3,temp_lag_1,precip_lag_1,precip_rolling_3,month,growth_scaled,accel_scaled,precip_scaled,temp_scaled,growth_z,precip_z,risk_score,risk_level
2025-12-09,L5,1.243174342045264,-10.428766094289417,1.3123958482654817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,-0.43954178641935465,-0.6108621985109988,0.30396839795063907,-0.7144102082307975,0.0,Low
2025-12-16,L5,1.2229245219382738,-8.480110967226949,0.138229678025922,1.243174342045264,0.0,0.0,-0.02024982010699,-0.016288801515703,0.0,0.0,0.0,-10.428766094289417,1.3123958482654817e-05,0.0,12,0,0,-0.412278593929517,0.0,-0.7632601613239205,-0.6888403086395302,0.0,Low
2025-12-23,L5,1.2026747018312838,-3.8467660659782967,0.0089911665429449,1.2229245219382738,1.243174342045264,0.0,-0.02024982010699,-0.0165585199607373,-0.0002697184450342,1.2229245219382738,0.02024982010699,-8.480110967226949,0.138229678025922,0.0490779895091165,12,0,0,-0.43777086900057194,1.4524557031818728,-0.7809318867253401,-0.7127492809347892,0.07262278515909364,Low
2025-12-30,L5,1.162175061617304,-8.16867826952583,0.1474572867511071,1.2026747018312838,1.2229245219382738,1.243174342045264,-0.0404996402139796,-0.0336746421557814,-0.0171161221950441,1.1959247617956206,0.0309321111498399,-3.8467660659782967,0.0089911665429449,0.0982260437733246,12,0,0,-0.4104584496306447,0.09762756875953749,-1.9023658002624626,-0.6871332119016433,0.07750416359707052,Low
2026-01-06,L5,1.1062388540063328,-13.23885284447158,0.5490532135715319,1.162175061617304,1.2026747018312838,1.2229245219382738,-0.0559362076109712,-0.0481306211588548,-0.0144559790030733,1.1570295391516403,0.0484233981409066,-8.16867826952583,0.1474572867511071,0.2351672222885279,1,0,0,-0.33124371931188856,-1.4917650049560698,-2.849509371843239,-0.6128384387874921,0.07750416359707052,Low
2026-01-13,L5,1.1148253264401504,-9.285644947883586,0.0701447420755808,1.1062388540063328,1.162175061617304,1.2026747018312838,0.0085864724338176,0.0077618611954561,0.055892482354311,1.1277464140212623,0.0301235905675851,-13.23885284447158,0.5490532135715319,0.2555517474660733,1,0,0,-0.42570833631454796,-0.2525178783898048,0.8125190075783613,-0.7014359415409165,0.004881378437976874,Low
2026-01-20,L5,1.115878249431655,-9.66233086842225,0.0968919242012849,1.1148253264401504,1.1062388540063328,1.162175061617304,0.0010529229915046,0.000944473512157,-0.006817387683299,1.1123141432927126,0.0052876286406504,-9.285644947883586,0.0701447420755808,0.2386966266161325,1,0,0,-0.42043245905242194,-0.37060095341563587,0.36584950717040454,-0.6964877443736662,0.0,Low
2026-01-27,L5,1.145867619891477,-10.254537009276264,0.9299155417566408,1.115878249431655,1.1148253264401504,1.1062388540063328,0.0299893704598219,0.0268751277077909,0.0259306541956338,1.1255237319210942,0.0176261877619676,-9.66233086842225,0.0968919242012849,0.3656507360111687,1,0,0,-0.2561186879037697,-0.5562450626014068,2.064804135082992,-0.5423793569828782,0.16666666666666666,Low
2026-02-03,L5,1.1248341903778376,-11.597389540666038,9.614859603560497,1.145867619891477,1.115878249431655,1.1148253264401504,-0.0210334295136394,-0.0183558983154017,-0.0452310260231927,1.1288600199003234,0.0153946764386982,-10.254537009276264,0.9299155417566408,3.547222356506141,2,0,0,1.456985095633622,-0.9772009506950525,-0.8986946030351028,1.064325057799038,0.2880820913028019,Medium
2026-02-10,L5,1.1248341903778376,-11.89580086607658,0.37322060339388,1.1248341903778376,1.145867619891477,1.115878249431655,0.0,0.0,0.0183558983154017,1.1318453335490506,0.0121436561916812,-11.597389540666038,9.614859603560497,3.639331916237006,2,0,0,-0.3659266726643857,-1.0707465944414956,0.30396839795063907,-0.6453672644223671,0.2880820913028019,Medium
2026-02-17,L5,1.1248341903778376,-11.58514743003326,0.8071898313009649,1.1248341903778376,1.1248341903778376,1.145867619891477,0.0,0.0,0.0,1.1248341903778376,0.0,-11.89580086607658,0.37322060339388,3.5984233460851143,2,0,0,-0.28032631404652986,-0.9733633077423834,0.30396839795063907,-0.5650834687645063,0.12141542463613518,Low
2026-02-24,L5,1.1248341903778376,-10.176808879447297,2.83123147455209,1.1248341903778376,1.1248341903778376,1.1248341903778376,0.0,0.0,0.0,1.1248341903778376,0.0,-11.58514743003326,0.8071898313009649,1.3372139697489782,2,0,0,0.11891556620233007,-0.5318789366440406,0.30396839795063907,-0.1906381504329359,0.00990963051686084,Low
2026-03-03,L5,1.1248341903778376,-8.18458119530298,2.745957795355266,1.1248341903778376,1.1248341903778376,1.1248341903778376,0.0,0.0,0.0,1.1248341903778376,0.0,-10.176808879447297,2.83123147455209,2.12812636706944,3,0,0,0.10209534704735582,0.09264233762855169,0.30396839795063907,-0.2064136805751274,0.02304969298556807,Low
2026-03-10,L5,1.1248341903778376,-1.845768745125692,2.685083410952702,1.1248341903778376,1.1248341903778376,1.1248341903778376,0.0,0.0,0.0,1.1248341903778376,0.0,-8.18458119530298,2.745957795355266,2.754090893620019,3,0,0,0.09008788476568377,2.0797260732207556,0.30396839795063907,-0.21767536993900985,0.1345433203770795,Low
