date,lake_id,lake_area_km2,temperature,precipitation
2025-12-09,L5,1.243174342045264,-10.428766094289415,1.3123958482654817e-05
2025-12-16,L5,1.2229245219382738,-8.480110967226949,0.13822967802592206
2025-12-23,L5,1.2026747018312838,-3.8467660659782967,0.008991166542944969
2025-12-30,L5,1.162175061617304,-8.16867826952583,0.14745728675110714
2026-01-06,L5,1.1062388540063328,-13.23885284447158,0.5490532135715319
2026-01-13,L5,1.1148253264401504,-9.285644947883586,0.07014474207558082
2026-01-20,L5,1.115878249431655,-9.66233086842225,0.09689192420128499
2026-01-27,L5,1.145867619891477,-10.254537009276264,0.9299155417566408
2026-02-03,L5,1.1248341903778376,-11.597389540666038,9.614859603560497
2026-02-10,L5,1.1248341903778376,-11.895800866076579,0.37322060339388
2026-02-17,L5,1.1248341903778376,-11.58514743003326,0.8071898313009649
2026-02-24,L5,1.1248341903778376,-10.176808879447297,2.83123147455209
2026-03-03,L5,1.1248341903778376,-8.18458119530298,2.745957795355266
2026-03-10,L5,1.1248341903778376,-1.845768745125692,2.6850834109527026
2026-03-17,L5,1.1248341903778376,-6.8481200443599,6.746104347526319
2026-03-24,L5,1.1248341903778376,-9.322352581099144,20.29325503906765
2026-03-31,L5,1.1248341903778376,-7.218445975294027,9.199511648830528
2026-04-07,L5,1.1248341903778376,-7.064529292622012,5.217170018264837
2026-04-14,L5,1.1248341903778376,-7.888870237924566,14.18499722509589
2026-04-21,L5,1.1248341903778376,-4.453593577347021,2.2283637146009734
2026-04-28,L5,1.1248341903778376,-4.453593577347021,2.2283637146009734
