date,lake_id,lake_area_km2,temperature,precipitation
2025-11-17,L1,1.9637179119018853,-11.72473020998791,0.022866267434698096
2025-11-24,L1,2.0165183575125227,-10.468535582146412,5.510471900469407
2025-12-01,L1,2.06931880312316,-9.594991975868115,3.5540870366235904
2025-12-08,L1,1.9813048558937825,-11.255067043528324,10.318786468138372
2025-12-15,L1,1.699676070213752,-12.587016552098305,0.5184025290504257
2025-12-22,L1,1.612098462459958,-8.234233303523053,0.0734583404742337
2025-12-29,L1,1.9121868710830536,-10.209298781140555,5.178473283640199
2026-01-05,L1,2.3697886388687683,-14.833935508625359,6.777358289288626
2026-01-12,L1,2.478709901951285,-12.240710649735417,4.722737462080046
2026-01-19,L1,2.238950660330604,-12.75172765477482,5.687203689363626
2026-01-26,L1,1.7647151351076311,-13.6376633674565,10.633230500334776
2026-02-02,L1,1.1745311737712931,-14.408202742295439,19.499331405270787
2026-02-09,L1,0.6221232101061104,-14.940961524094812,12.189025584698738
2026-02-16,L1,0.2717825874094595,-14.389860047807215,10.053096563329778
2026-02-23,L1,0.1235093056813408,-12.564091583700597,11.235238247773065
2026-03-02,L1,0.0715340177653643,-10.185331679656915,12.997506013299965
2026-03-09,L1,0.0528688546974231,-5.180982561990285,4.20123024169262
2026-03-16,L1,0.0675138164775175,-8.367133418450221,12.787174680042742
2026-03-23,L1,0.0675138164775175,-11.086970880021259,31.136133963311185
2026-03-30,L1,0.0675138164775175,-9.191518850234656,16.45113344480618
2026-04-06,L1,0.0675138164775175,-9.191518850234656,16.45113344480618
2025-11-17,L2,3.364776543697671,-2.9271806518930816,0.0029909537459056183
2025-11-24,L2,3.3237805771285784,-3.794301536322905,6.066407664420181
2025-12-01,L2,3.2827846105594856,-3.1225024063828237,0.12158347026489746
2025-12-08,L2,3.4784758946434025,-3.8624962708461714,0.1991613263347422
2025-12-15,L2,3.95185039594942,-4.8017634888115595,0.46027692467802084
2025-12-22,L2,4.205976462983315,-1.1902740075719132,0.26327118636254354
2025-12-29,L2,3.9631708785229858,-3.666275882898219,0.07098497590663377
2026-01-05,L2,3.752493875499756,-8.160168169299068,2.0973232578944647
2026-01-12,L2,4.07087710540785,-5.77805188449545,1.857779027067198
2026-01-19,L2,4.249761686996797,-5.35776581845496,0.31239322461016644
2026-01-26,L2,3.760087387335273,-6.306695533913755,1.0077162200303726
2026-02-02,L2,2.662007739273775,-6.765600758569008,7.789298218617548
2026-02-09,L2,1.6240816240627745,-7.344801629111528,2.7869583585244326
2026-02-16,L2,1.0038085174984137,-7.11663170213224,3.3981249682838017
2026-02-23,L2,0.7410348867301947,-5.559689943513336,5.936740322789736
2026-03-02,L2,0.7677372263298041,-5.398340890556938,13.21139599231795
2026-03-09,L2,0.7264160605010992,0.4399923968875409,11.05924502556526
2026-03-16,L2,0.5839389212042496,-2.2769304636931826,11.790830683256623
2026-03-23,L2,0.4083293138675695,-5.342883166278357,29.66568739980913
2026-03-30,L2,0.2863727482039139,-3.8750249147360836,21.209939246444492
2026-04-06,L2,0.2339968743324285,-3.8750249147360836,21.209939246444492
2025-11-17,L3,0.4512650530500823,-9.595500923683403,0.03535329848582664
2025-11-24,L3,0.6053992228916991,-8.281016684588135,21.455523244975364
2025-12-01,L3,0.7595333927333159,-7.885436968480868,18.887477877168266
2025-12-08,L3,0.998100605611325,-9.507110953879574,41.89938449180698
2025-12-15,L3,1.1576884415799809,-12.040547889775398,2.244346015951912
2025-12-22,L3,1.1450031325724783,-7.783933192001882,0.4463572685933611
2025-12-29,L3,1.0842902862170003,-8.634819599768264,32.00144121012267
2026-01-05,L3,0.9848281526176752,-12.67637415925448,29.222014215541044
2026-01-12,L3,0.8997283643913369,-10.346187826712846,19.302478791007523
2026-01-19,L3,0.7640423270609538,-11.529436915420758,21.079091358903504
2026-01-26,L3,0.5891265274375915,-12.031624535297258,36.238278608351735
2026-02-02,L3,0.4151631009712219,-12.870524357468225,55.03230452870189
2026-02-09,L3,0.3045823722750346,-13.252158761253392,44.80925853979104
2026-02-16,L3,0.2291388357755872,-12.402450211270102,45.791769248895456
2026-02-23,L3,0.18883249147288,-10.950450791279788,26.690486937558376
2026-03-02,L3,0.1316371284077962,-8.555951357675001,39.772265738797095
2026-03-09,L3,0.0974189326856401,-4.352491851290154,13.441498043728878
2026-03-16,L3,0.0861779043064117,-6.644943240863419,43.097102491388156
2026-03-23,L3,0.097914043270111,-9.304962925569985,59.97428259100074
2026-03-30,L3,0.1096501822338104,-7.283864069397363,54.3793313188921
2026-04-06,L3,0.1174742748762766,-7.283864069397363,54.3793313188921
2025-11-17,L4,3.032992810432266,-2.6796327247366776,0.001575839642258801
2025-11-24,L4,3.404797861362661,-3.467885735681518,5.173372299249118
2025-12-01,L4,3.776602912293056,-2.6437926067872337,0.21634643742750076
2025-12-08,L4,4.2522876911858924,-3.625354723198492,0.7255565287743249
2025-12-15,L4,4.460047147110775,-4.333668873633948,0.361620244084112
2025-12-22,L4,4.069744291207657,-0.7859072400751675,0.2633527207543451
2025-12-29,L4,3.349304446444495,-3.402448705231523,0.21816130206440884
2026-01-05,L4,2.7685602177866424,-7.8779716166307105,2.418067572058575
2026-01-12,L4,2.6576485940941432,-5.6621367076663445,2.1149699651985165
