date,lake_id,lake_area_km2
2015-05-01,L2,1.5972160375976563
2015-06-01,L2,1.630508829284668
2015-07-01,L2,1.8190926666870118
2015-08-01,L2,1.0740536107177734
2015-09-01,L2,1.9783766184692382
2015-10-01,L2,2.0663280600585936
2015-11-01,L2,2.2058002463989257
2015-12-01,L2,1.9625088483276367
2016-01-01,L2,1.3157870806274414
2016-02-01,L2,1.4309988068440755
2016-03-01,L2,1.5462105330607097
2016-04-01,L2,1.6614222592773438
2016-05-01,L2,1.7105675938720704
2016-06-01,L2,1.6502488694458008
2016-07-01,L2,1.6534120090637208
2016-08-01,L2,1.6565751486816407
2016-09-01,L2,1.1509229993286132
2016-10-01,L2,2.0980355170288085
2016-11-01,L2,2.176471517944336
2016-12-01,L2,2.166163279296875
2017-01-01,L2,1.244463199951172
2017-02-01,L2,1.3316509739990234
2017-03-01,L2,1.4941613561706544
2017-04-01,L2,1.656671738342285
2017-05-01,L2,1.5789811972045897
2017-06-01,L2,1.8999056752319337
2017-07-01,L2,1.6209905189819336
2017-08-01,L2,1.1453727454223632
2017-09-01,L2,1.9213285116577148
2017-10-01,L2,2.099626879943848
2017-11-01,L2,2.196288171508789
2017-12-01,L2,1.8357572841796874
2018-01-01,L2,1.8666368203125
2018-02-01,L2,1.712892993774414
2018-03-01,L2,1.5857005711364747
2018-04-01,L2,1.4585081484985352
2018-05-01,L2,1.770813815612793
2018-06-01,L2,1.7009809923706054
2018-07-01,L2,1.6288936470336914
2018-08-01,L2,1.3293150768432618
2018-09-01,L2,1.975220293029785
2018-10-01,L2,2.059204325378418
2018-11-01,L2,2.1867776825561522
2018-12-01,L2,2.0108247841796874
2019-01-01,L2,1.9349171079833982
2019-02-01,L2,1.8590094317871093
2019-03-01,L2,1.7831017555908202
2019-04-01,L2,1.7071940793945313
2019-05-01,L2,1.6312864031982421
2019-06-01,L2,1.9466761934814454
2019-07-01,L2,1.9147025224812826
2019-08-01,L2,1.8827288514811198
2019-09-01,L2,1.850755180480957
2019-10-01,L2,2.1360879838867186
2019-11-01,L2,2.197875076293945
2019-12-01,L2,2.1072751581929525
2020-01-01,L2,2.0166752400919594
2020-02-01,L2,1.9260753219909668
2020-03-01,L2,1.8354754038899739
2020-04-01,L2,1.744875485788981
2020-05-01,L2,1.6542755676879883
2020-06-01,L2,1.631299951171875
2020-07-01,L2,1.5845307034912108
2020-08-01,L2,1.7580841338500977
2020-09-01,L2,1.0344067751464843
2020-10-01,L2,2.14240738079834
2020-11-01,L2,2.2224458197631836
2020-12-01,L2,1.662179859741211
2021-01-01,L2,1.7477592676391602
2021-02-01,L2,1.7126988771972655
2021-03-01,L2,1.677638486755371
2021-04-01,L2,1.6425780963134766
2021-05-01,L2,1.607517705871582
2021-06-01,L2,1.8079964978637695
2021-07-01,L2,1.096155964416504
2021-08-01,L2,1.4659799567565919
2021-09-01,L2,1.8358039490966798
2021-10-01,L2,2.1654001926879882
2021-11-01,L2,2.1162385346679686
