lake_id,date,lake_area_km2
L1,2017-02-07,3.8975360883653867
L1,2017-12-14,3.2742680257182712
L1,2018-01-23,2.9390109555821433
L1,2018-03-19,2.6397053039768577
L1,2018-12-19,9.514125310343214
L1,2018-12-24,7.857479114793343
L1,2018-12-24,5.1894321669001355
L1,2018-12-29,4.517406144491643
L1,2019-01-13,6.222429078747235
L1,2019-01-18,5.534882235870332
L1,2019-02-12,10.759877232297901
L1,2019-10-15,5.004520184550541
L1,2019-12-09,4.642779056191124
L1,2019-12-19,8.478114041464396
L1,2019-12-29,3.9974086739575245
L1,2020-01-13,5.041541545671536
L1,2020-02-12,4.8107534082545005
L1,2020-10-09,5.368287798844791
L1,2020-10-24,4.873357500663222
L1,2020-10-29,2.912567781922074
L1,2020-11-08,4.781147025898476
L1,2020-11-13,2.9853152904072484
L1,2020-11-18,4.951149447804264
L1,2020-11-23,3.439572607205529
L1,2020-11-28,4.573216150467162
L1,2020-12-13,3.5952734559430595
L1,2021-01-02,4.0117065428353085
L1,2021-01-07,4.7995129508459415
L1,2021-02-21,3.4394313043992915
L1,2021-03-23,6.4195040502057905
L1,2021-10-14,5.137376162096633
L1,2021-11-03,9.126978680154842
L1,2021-11-18,6.435348001461527
L1,2021-11-23,7.430710271252238
L1,2021-11-28,7.1859664828151715
L1,2021-12-13,6.348844818310971
L1,2021-12-23,5.982746245914302
L1,2022-01-27,4.228917603674077
L1,2022-02-06,5.4438778822627105
L1,2022-02-16,3.786719003798601
L1,2022-02-21,5.574109956323129
L1,2022-02-26,3.474707839083625
L1,2022-03-03,3.4823123712479562
L1,2022-03-08,3.2092745957687394
L1,2022-03-13,3.147575190775733
L1,2022-03-18,3.004859237263847
L1,2022-04-17,2.5428337439693984
L1,2022-04-27,4.2624122619681035
L1,2022-10-14,5.371627241597616
L1,2022-10-24,4.000663913269162
L1,2022-10-29,4.050599555885465
L1,2022-11-03,3.7275320064863027
L1,2022-11-13,3.6286024424378356
L1,2022-11-18,3.701340661313436
L1,2022-11-23,3.634677856331142
L1,2022-11-28,3.704953226674489
L1,2022-12-03,3.7956441165114456
L1,2022-12-08,3.7658673406491143
L1,2022-12-18,3.507331903333776
L1,2022-12-23,3.617011202997964
L1,2022-12-28,3.605121359774302
L1,2023-01-02,3.3753347548957673
L1,2023-01-07,3.540062696692942
L1,2023-01-12,3.606846285986898
L1,2023-01-17,3.4844343801572912
L1,2023-01-22,3.3795753494885017
L1,2023-01-27,3.5020007742119286
L1,2023-02-01,3.272704950347482
L1,2023-02-06,3.2293660499513512
L1,2023-02-11,3.174489267540846
L1,2023-02-16,12.396910549297031
L1,2023-03-03,3.121970395749021
L1,2023-03-28,5.84664390485583
L1,2023-04-07,5.610788075696764
L1,2023-04-12,4.864166271742284
L1,2023-04-17,4.307771710048992
L1,2023-04-22,7.869053580797955
L1,2023-05-12,7.383680465866668
L1,2023-10-24,3.3427031529701083
L1,2023-11-03,3.260495506770535
L1,2023-11-08,3.187735851835453
L1,2023-11-13,3.2542387615451305
L1,2023-11-18,3.4077303830410237
L1,2023-11-23,3.437180943208166
L1,2023-12-03,3.742697467436011
L1,2023-12-18,3.526142207219382
