date,lake_id,lake_area_km2,temperature,precipitation,area_lag_1,area_lag_2,area_lag_3,area_change,growth_rate,growth_acceleration,area_rolling_mean_3,area_rolling_std_3,temp_lag_1,precip_lag_1,precip_rolling_3,month
2025-11-24,L1,1.6662786916596355,-11.072529696506932,0.8676002483988864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2025-12-01,L1,1.9525429928670024,-9.594991975868115,3.5540870366235904,1.6662786916596355,0.0,0.0,0.2862643012073669,0.17179857285592717,0.0,0.0,0.0,-11.072529696506932,0.8676002483988864,0.0,12
2025-12-08,L1,2.238807294074369,-11.255067043528324,10.318786468138372,1.9525429928670024,1.6662786916596355,0.0,0.28626430120736646,0.14661101048895847,-0.025187562366968702,1.9525429928670022,0.28626430120736673,-9.594991975868115,3.5540870366235904,4.913491251053617,12
2025-12-15,L1,2.6030050227684023,-12.587016552098303,0.5184025290504257,2.238807294074369,1.9525429928670024,1.6662786916596355,0.36419772869403344,0.16267488928501567,0.016063878796057196,2.264785103236591,0.3260082023699928,-11.255067043528324,10.318786468138372,4.797092011270796,12
2025-12-22,L1,2.758871877741735,-8.234233303523053,0.0734583404742337,2.6030050227684023,2.238807294074369,1.9525429928670024,0.15586685497333264,0.059879582870555455,-0.10279530641446022,2.5335613981948355,0.266896244899987,-12.587016552098303,0.5184025290504257,3.636882445887677,12
2025-12-29,L1,2.6884070109397142,-10.209298781140555,5.178473283640199,2.758871877741735,2.6030050227684023,2.238807294074369,-0.07046486680202069,-0.025541188545406268,-0.08542077141596172,2.6834279704832835,0.07805262489320854,-8.234233303523053,0.0734583404742337,1.9234447177216192,12
2026-01-05,L1,2.6345289681725395,-14.83393550862536,6.777358289288626,2.6884070109397142,2.758871877741735,2.6030050227684023,-0.05387804276717478,-0.020040880174740386,0.005500308370665882,2.693935952284663,0.0623555665865571,-10.209298781140555,5.178473283640199,4.009763304467686,1
2026-01-12,L1,2.478709901951285,-12.240710649735416,4.722737462080046,2.6345289681725395,2.6884070109397142,2.758871877741735,-0.1558190662212544,-0.05914494321515829,-0.03910406304041791,2.6005486270211797,0.10890003245223842,-14.83393550862536,6.777358289288626,5.559523011669623,1
2026-01-19,L1,2.238950660330604,-12.75172765477482,5.687203689363626,2.478709901951285,2.6345289681725395,2.6884070109397142,-0.23975924162068107,-0.09672743124636662,-0.03758248803120833,2.4507298434848095,0.19926794062922604,-12.240710649735416,4.722737462080046,5.729099813577432,1
2026-01-26,L1,1.7647151351076311,-13.6376633674565,10.633230500334776,2.238950660330604,2.478709901951285,2.6345289681725395,-0.47423552522297285,-0.21181151225232767,-0.11508408100596104,2.16079189912984,0.36335757283199555,-12.75172765477482,5.687203689363626,7.0143905505928155,1
2026-02-02,L1,1.1745311737712931,-14.40820274229544,19.499331405270787,1.7647151351076311,2.238950660330604,2.478709901951285,-0.590183961336338,-0.33443582456742643,-0.12262431231509877,1.7260656564031758,0.5332612375701898,-13.6376633674565,10.633230500334776,11.93992186498973,2
2026-02-09,L1,0.6221232101061104,-14.940961524094812,12.189025584698738,1.1745311737712931,1.7647151351076311,2.238950660330604,-0.5524079636651827,-0.47032209617004905,-0.13588627160262262,1.1871231729950116,0.5714000311541874,-14.40820274229544,19.499331405270787,14.107195830101434,2
2026-02-16,L1,0.2717825874094595,-14.389860047807217,10.053096563329778,0.6221232101061104,1.1745311737712931,1.7647151351076311,-0.3503406226966509,-0.5631370394248693,-0.0928149432548202,0.6894789904289543,0.45512784292080455,-14.940961524094812,12.189025584698738,13.913817851099767,2
2026-02-23,L1,0.1235093056813408,-12.564091583700597,11.235238247773063,0.2717825874094595,0.6221232101061104,1.1745311737712931,-0.14827328172811868,-0.545558430145985,0.017578609278884216,0.3391383677323036,0.25604014778663153,-14.389860047807217,10.053096563329778,11.15912013193386,2
2026-03-02,L1,0.0715340177653643,-10.185331679656915,12.997506013299963,0.1235093056813408,0.2717825874094595,0.6221232101061104,-0.0519752879159765,-0.42082082503220386,0.12473760511378118,0.15560863695205487,0.10391173038759355,-12.564091583700597,11.235238247773063,11.428613608134269,3
2026-03-09,L1,0.0528688546974231,-5.180982561990285,4.20123024169262,0.0715340177653643,0.1235093056813408,0.2717825874094595,-0.018665163067941207,-0.26092708967031625,0.1598937353618876,0.08263739271470939,0.03660576498653142,-10.185331679656915,12.997506013299963,9.477991500921883,3
2026-03-16,L1,0.0675138164775175,-8.367133418450221,12.787174680042742,0.0528688546974231,0.0715340177653643,0.1235093056813408,0.014644961780094404,0.27700546690314853,0.5379325565734647,0.0639722296467683,0.009823655431916697,-5.180982561990285,4.20123024169262,9.995303645011775,3
2026-03-23,L1,0.0675138164775175,-11.08697088002126,31.136133963311185,0.0675138164775175,0.0528688546974231,0.0715340177653643,0.0,0.0,-0.27700546690314853,0.06263216255081937,0.008455272625832668,-8.367133418450221,12.787174680042742,16.041512961682184,3
2026-03-30,L1,0.0675138164775175,-9.191518850234656,16.45113344480618,0.0675138164775175,0.0675138164775175,0.0528688546974231,0.0,0.0,0.0,0.0675138164775175,0.0,-11.08697088002126,31.136133963311185,20.1248140293867,3
2026-04-06,L1,0.0675138164775175,-7.323664896120865,13.166645248008445,0.0675138164775175,0.0675138164775175,0.0675138164775175,0.0,0.0,0.0,0.0675138164775175,0.0,-9.191518850234656,16.45113344480618,20.2513042187086,4
2026-04-13,L1,0.0675138164775175,-7.323664896120865,13.166645248008445,0.0675138164775175,0.0675138164775175,0.0675138164775175,0.0,0.0,0.0,0.0675138164775175,0.0,-7.323664896120865,13.166645248008445,14.261474646941025,4
2025-11-24,L2,1.2252931712417603,-4.139752971208054,0.0514805891093691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2025-12-01,L2,2.35673367484831,-3.122502406382824,0.1215834702648974,1.2252931712417603,0.0,0.0,1.1314405036065496,0.9234039086824447,0.0,0.0,0.0,-4.139752971208054,0.0514805891093691,0.0,12
2025-12-08,L2,3.488174178454859,-3.8624962708461714,0.1991613263347422,2.35673367484831,1.2252931712417603,0.0,1.1314405036065494,0.48008840187653956,-0.44331550680590515,2.3567336748483094,1.1314405036065496,-3.122502406382824,0.1215834702648974,0.12407512856966957,12
2025-12-15,L2,5.060485742678608,-4.80176348881156,0.4602769246780208,3.488174178454859,2.35673367484831,1.2252931712417603,1.572311564223749,0.4507548888858035,-0.029333512990736055,3.6351311986605928,1.3578534845170018,-3.8624962708461714,0.1991613263347422,0.26034057375922015,12
2025-12-22,L2,5.942227863913009,-1.1902740075719132,0.2632711863625435,5.060485742678608,3.488174178454859,2.35673367484831,0.8817421212344003,0.17424060971026034,-0.27651427917554317,4.830295928348825,1.2431151940763832,-4.80176348881156,0.4602769246780208,0.30756981245843545,12
2025-12-29,L2,5.932221116249504,-3.666275882898219,0.0709849759066337,5.942227863913009,5.060485742678608,3.488174178454859,-0.010006747663504179,-0.0016840060483501297,-0.17592461575861046,5.64497824094704,0.5062100790667365,-1.1902740075719132,0.2632711863625435,0.26484436231573266,12
2026-01-05,L2,5.721034942677441,-8.160168169299068,2.0973232578944647,5.932221116249504,5.942227863913009,5.060485742678608,-0.21118617357206304,-0.03559984859525602,-0.03391584254690589,5.8651613076133176,0.12491733487358156,-3.666275882898219,0.0709849759066337,0.8105264733878806,1
2026-01-12,L2,5.260026270903702,-5.77805188449545,1.857779027067198,5.721034942677441,5.932221116249504,5.942227863913009,-0.4610086717737394,-0.08058134173149929,-0.04498149313624327,5.637760776610215,0.34374760737786614,-8.160168169299068,2.0973232578944647,1.3420290869560987,1
2026-01-19,L2,4.750374526836843,-5.35776581845496,0.3123932246101664,5.260026270903702,5.721034942677441,5.932221116249504,-0.5096517440668586,-0.096891482631188,-0.016310140899688713,5.243811913472662,0.48553330448089216,-5.77805188449545,1.857779027067198,1.4224985031906099,1
2026-01-26,L2,3.848102814578995,-6.306695533913755,1.0077162200303726,4.750374526836843,5.260026270903702,5.721034942677441,-0.9022717122578485,-0.18993696331953197,-0.09304548068834397,4.6195012041065135,0.7150019801244148,-5.35776581845496,0.3123932246101664,1.0592961572359123,1
2026-02-02,L2,2.601854206423277,-6.765600758569008,7.789298218617548,3.848102814578995,4.750374526836843,5.260026270903702,-1.2462486081557178,-0.32386052769540274,-0.13392356437587077,3.733443849279705,1.0788396083524803,-6.306695533913755,1.0077162200303726,3.0364692210860285,2
2026-02-09,L2,1.40264944335381,-7.344801629111528,2.7869583585244326,2.601854206423277,3.848102814578995,4.750374526836843,-1.199204763069467,-0.4609039046495971,-0.13704337695419433,2.6175354881186936,1.222802099546721,-6.765600758569008,7.789298218617548,3.8613242657241176,2
2026-02-16,L2,0.5944654212684631,-7.11663170213224,3.3981249682838017,1.40264944335381,2.601854206423277,3.848102814578995,-0.8081840220853468,-0.5761838967781825,-0.11527999212858542,1.532989690348516,1.0100217169354921,-7.344801629111528,2.7869583585244326,4.658127181808594,2
2026-02-23,L2,0.5160867054138184,-5.559689943513336,5.936740322789736,0.5944654212684631,1.40264944335381,2.601854206423277,-0.07837871585464473,-0.1318473927169745,0.444336504061208,0.8377338566786969,0.49079835047209786,-7.11663170213224,3.3981249682838017,4.040607883199324,2
2026-03-02,L2,0.7764925548057556,-5.398340890556938,13.21139599231795,0.5160867054138184,0.5944654212684631,1.40264944335381,0.2604058493919372,0.5045777127375015,0.6364251054544761,0.6290148938293454,0.13359659853481462,-5.559689943513336,5.936740322789736,7.515420427797163,3
2026-03-09,L2,0.9713344671122234,0.4399923968875409,11.05924502556526,0.7764925548057556,0.5160867054138184,0.5944654212684631,0.19484191230646775,0.25092566709182246,-0.25365204564567906,0.7546379091105987,0.22840939185311337,-5.398340890556938,13.21139599231795,10.069127113557649,3
2026-03-16,L2,0.7618278770866395,-2.276930463693182,11.790830683256624,0.9713344671122234,0.7764925548057556,0.5160867054138184,-0.20950659002558392,-0.21568944284294456,-0.466615109934767,0.8365516330015392,0.11695542942225369,0.4399923968875409,11.05924502556526,12.020490567046613,3
