date,lake_id,lake_area_km2,area_previous,area_change,growth_rate,risk
2015-06-01,L1,1.413567527230057,0.0,0.0,0.0,0
2015-07-01,L1,1.4008891980064242,1.413567527230057,-0.012678329223632767,-0.008969029762926479,0
2015-08-01,L1,1.4624020029655904,1.4008891980064242,0.06151280495916622,0.043909828876333545,0
2015-09-01,L1,1.511101964050293,1.4624020029655904,0.04869996108470254,0.03330135009795143,0
2015-10-01,L1,1.4793383562095492,1.511101964050293,-0.031763607840743724,-0.02102016183977811,0
2015-11-01,L1,1.5320211325887043,1.4793383562095492,0.05268277637915508,0.03561239128156056,0
2015-12-01,L1,1.489895465958739,1.5320211325887043,-0.04212566662996542,-0.027496792135487294,0
2016-01-01,L1,1.4477697993287728,1.489895465958739,-0.042125666629966085,-0.028274243121384674,0
2016-02-01,L1,1.405644132698807,1.4477697993287728,-0.04212566662996586,-0.029096936991983475,0
2016-03-01,L1,1.2660205519139909,1.405644132698807,-0.13962358078481607,-0.09933067519496684,0
2016-04-01,L1,1.1263969711291744,1.2660205519139909,-0.13962358078481651,-0.11028539826919181,0
2016-05-01,L1,1.4474305529318416,1.1263969711291744,0.3210335818026673,0.2850092729571548,0
2016-06-01,L1,1.4539759843833773,1.4474305529318416,0.006545431451535633,0.00452210397125965,0
2016-07-01,L1,1.523493635244332,1.4539759843833773,0.06951765086095474,0.04781210391892186,0
2016-08-01,L1,1.5930112861052868,1.523493635244332,0.06951765086095474,0.04563041764845034,0
2016-09-01,L1,1.431071962585449,1.5930112861052868,-0.16193932351983764,-0.10165610559844747,0
2016-10-01,L1,1.5557686910735484,1.431071962585449,0.12469672848809932,0.08713519078580487,0
2016-11-01,L1,1.4830058135735007,1.5557686910735484,-0.07276287750004773,-0.04676972734927463,0
2016-12-01,L1,1.322936793553969,1.4830058135735007,-0.1600690200195316,-0.10793553103734901,0
2017-01-01,L1,0.6368150228415097,1.322936793553969,-0.6861217707124594,-0.5186353377240688,0
2017-02-01,L1,0.6909002492149203,0.6368150228415097,0.05408522637341062,0.08493082674475683,0
2017-03-01,L1,0.9479955512584012,0.6909002492149203,0.25709530204348086,0.3721163834223853,1
2017-04-01,L1,1.2050908533018825,0.9479955512584012,0.2570953020434813,0.27119884866780686,0
2017-05-01,L1,1.4413668995361328,1.2050908533018825,0.23627604623425036,0.19606492372493495,0
2017-06-01,L1,1.420404132054946,1.4413668995361328,-0.02096276748118675,-0.01454367204348392,0
2017-07-01,L1,1.429778420870912,1.420404132054946,0.009374288815965803,0.006599733557803515,0
