date,lake_id,lake_area_km2
2015-06-01,L1,1.413567527230057
2015-07-01,L1,1.4008891980064242
2015-08-01,L1,1.4624020029655904
2015-09-01,L1,1.511101964050293
2015-10-01,L1,1.4793383562095492
2015-11-01,L1,1.5320211325887043
2015-12-01,L1,1.489895465958739
2016-01-01,L1,1.4477697993287728
2016-02-01,L1,1.405644132698807
2016-03-01,L1,1.2660205519139909
2016-04-01,L1,1.1263969711291744
2016-05-01,L1,1.4474305529318416
2016-06-01,L1,1.4539759843833773
2016-07-01,L1,1.523493635244332
2016-08-01,L1,1.5930112861052868
2016-09-01,L1,1.431071962585449
2016-10-01,L1,1.5557686910735484
2016-11-01,L1,1.4830058135735007
2016-12-01,L1,1.322936793553969
2017-01-01,L1,0.6368150228415097
2017-02-01,L1,0.6909002492149203
2017-03-01,L1,0.9479955512584012
2017-04-01,L1,1.2050908533018825
2017-05-01,L1,1.4413668995361328
2017-06-01,L1,1.420404132054946
2017-07-01,L1,1.429778420870912
2017-08-01,L1,1.3356166871086568
2017-09-01,L1,1.5586405580444336
2017-10-01,L1,1.4497240724372416
2017-11-01,L1,1.5057803510550705
2017-12-01,L1,1.427537204442641
2018-01-01,L1,0.5079250368652344
2018-02-01,L1,0.6777214701346603
2018-03-01,L1,0.908498492378185
2018-04-01,L1,1.1392755146217095
2018-05-01,L1,1.3700525368652343
2018-06-01,L1,1.3145861607055664
2018-07-01,L1,1.3969925924682618
2018-08-01,L1,1.5332894847412109
2018-09-01,L1,1.2511985242919923
2018-10-01,L1,1.4080899508666993
2018-11-01,L1,1.43503331060791
2018-12-01,L1,1.3950880388853784
2019-01-01,L1,1.3551427671628464
2019-02-01,L1,1.3151974954403147
2019-03-01,L1,1.275252223717783
2019-04-01,L1,1.235306951995251
2019-05-01,L1,1.1953616802727194
2019-06-01,L1,1.4199755979003903
2019-07-01,L1,1.2935990401934454
2019-08-01,L1,1.1672224824865003
2019-09-01,L1,1.0408459247795554
2019-10-01,L1,1.5795650445286171
2019-11-01,L1,1.5456038102776022
2019-12-01,L1,1.118897185857436
2020-01-01,L1,0.6921905614372702
2020-02-01,L1,1.376818305577895
2020-03-01,L1,1.3767926462020974
2020-04-01,L1,1.3767669868262995
2020-05-01,L1,1.3767413274505018
2020-06-01,L1,1.2710038751831054
2020-07-01,L1,1.5108967217467064
2020-08-01,L1,1.4956803171745747
2020-09-01,L1,1.568505381466615
2020-10-01,L1,1.522196703979492
2020-11-01,L1,1.440580372253418
2020-12-01,L1,0.924724485961914
2021-01-01,L1,1.125629848058364
2021-02-01,L1,1.191747645501111
2021-03-01,L1,1.2578654429438572
2021-04-01,L1,1.323983240386604
2021-05-01,L1,1.3901010378293503
2021-06-01,L1,1.456218835272097
2021-07-01,L1,0.9714743002319336
2021-08-01,L1,1.2412296355818206
2021-09-01,L1,1.5109849709317076
2021-10-01,L1,1.5106017368499156
2021-11-01,L1,1.5660694922820446
2015-05-01,L2,1.5972160375976563
2015-06-01,L2,1.630508829284668
2015-07-01,L2,1.819092666687012
2015-08-01,L2,1.0740536107177734
2015-09-01,L2,1.9783766184692384
2015-10-01,L2,2.0663280600585936
2015-11-01,L2,2.2058002463989257
2015-12-01,L2,1.9625088483276367
2016-01-01,L2,1.3157870806274414
2016-02-01,L2,1.4309988068440755
2016-03-01,L2,1.5462105330607097
2016-04-01,L2,1.6614222592773438
2016-05-01,L2,1.7105675938720704
2016-06-01,L2,1.6502488694458008
2016-07-01,L2,1.6534120090637208
2016-08-01,L2,1.656575148681641
2016-09-01,L2,1.1509229993286132
2016-10-01,L2,2.0980355170288085
2016-11-01,L2,2.176471517944336
2016-12-01,L2,2.166163279296875
2017-01-01,L2,1.244463199951172
2017-02-01,L2,1.3316509739990234
2017-03-01,L2,1.4941613561706544
2017-04-01,L2,1.656671738342285
2017-05-01,L2,1.5789811972045895
2017-06-01,L2,1.8999056752319337
2017-07-01,L2,1.6209905189819336
2017-08-01,L2,1.1453727454223632
2017-09-01,L2,1.9213285116577148
2017-10-01,L2,2.099626879943848
2017-11-01,L2,2.196288171508789
2017-12-01,L2,1.8357572841796876
2018-01-01,L2,1.8666368203125
2018-02-01,L2,1.712892993774414
2018-03-01,L2,1.585700571136475
2018-04-01,L2,1.4585081484985352
2018-05-01,L2,1.770813815612793
2018-06-01,L2,1.7009809923706054
2018-07-01,L2,1.6288936470336914
2018-08-01,L2,1.3293150768432618
2018-09-01,L2,1.975220293029785
2018-10-01,L2,2.059204325378418
2018-11-01,L2,2.186777682556152
2018-12-01,L2,2.010824784179688
2019-01-01,L2,1.9349171079833984
2019-02-01,L2,1.859009431787109
2019-03-01,L2,1.7831017555908202
2019-04-01,L2,1.7071940793945313
2019-05-01,L2,1.631286403198242
2019-06-01,L2,1.9466761934814452
2019-07-01,L2,1.9147025224812824
2019-08-01,L2,1.88272885148112
2019-09-01,L2,1.850755180480957
2019-10-01,L2,2.1360879838867186
2019-11-01,L2,2.197875076293945
2019-12-01,L2,2.1072751581929525
2020-01-01,L2,2.0166752400919594
2020-02-01,L2,1.9260753219909668
2020-03-01,L2,1.8354754038899737
2020-04-01,L2,1.744875485788981
2020-05-01,L2,1.6542755676879883
2020-06-01,L2,1.631299951171875
2020-07-01,L2,1.5845307034912108
2020-08-01,L2,1.7580841338500977
2020-09-01,L2,1.0344067751464845
2020-10-01,L2,2.14240738079834
2020-11-01,L2,2.222445819763184
2020-12-01,L2,1.662179859741211
2021-01-01,L2,1.7477592676391602
2021-02-01,L2,1.7126988771972655
2021-03-01,L2,1.677638486755371
2021-04-01,L2,1.6425780963134766
2021-05-01,L2,1.607517705871582
2021-06-01,L2,1.8079964978637693
2021-07-01,L2,1.096155964416504
2021-08-01,L2,1.465979956756592
2021-09-01,L2,1.83580394909668
2021-10-01,L2,2.165400192687988
2021-11-01,L2,2.1162385346679686
2015-05-01,L3,0.7731001135864258
2015-06-01,L3,0.6890791923217774
2015-07-01,L3,0.8048283089599609
2015-08-01,L3,0.8734121020202636
2015-09-01,L3,0.9419958950805664
2015-10-01,L3,0.9713208604736328
2015-11-01,L3,0.964180522277832
2015-12-01,L3,0.8460151053873698
2016-01-01,L3,0.7278496884969076
2016-02-01,L3,0.6096842716064453
2016-03-01,L3,0.7798012535705566
2016-04-01,L3,0.949918235534668
2016-05-01,L3,0.9467493146362304
2016-06-01,L3,0.9248127901611328
2016-07-01,L3,0.9028762656860352
2016-08-01,L3,0.8809397412109375
2016-09-01,L3,0.938819830444336
2016-10-01,L3,0.9966999196777344
2016-11-01,L3,0.9197756712036133
2016-12-01,L3,0.8539531978759766
2017-01-01,L3,0.8799274125213623
2017-02-01,L3,0.905901627166748
2017-03-01,L3,0.9318758418121338
2017-04-01,L3,0.9578500564575196
2017-05-01,L3,0.7231222459106446
2017-06-01,L3,0.6311951221313477
2017-07-01,L3,0.5915247614135742
2017-08-01,L3,0.5186162672119141
2017-09-01,L3,0.5883755827026367
2017-10-01,L3,1.005422293212891
2017-11-01,L3,0.9070778775024414
2017-12-01,L3,0.7746367331542969
2018-01-01,L3,0.5755976552734375
2018-02-01,L3,0.5755976488647461
2018-03-01,L3,0.6303356184387208
2018-04-01,L3,0.6850735880126954
2018-05-01,L3,0.8761706193237304
2018-06-01,L3,0.7409960720214843
2018-07-01,L3,0.6058215247192383
2018-08-01,L3,0.5986546173095703
2018-09-01,L3,0.9760868377075196
2018-10-01,L3,0.9990784336547852
2018-11-01,L3,0.9467400471801758
2018-12-01,L3,0.6612758853149414
2019-01-01,L3,0.700766693762207
2019-02-01,L3,0.7402575022094726
2019-03-01,L3,0.7797483106567382
2019-04-01,L3,0.8192391191040039
2019-05-01,L3,0.8587299275512695
2019-06-01,L3,1.005420599243164
2019-07-01,L3,0.7941335262451171
2019-08-01,L3,0.5828464532470703
2019-09-01,L3,0.5249410587158203
2019-10-01,L3,1.018109016052246
2019-11-01,L3,1.006215252319336
2019-12-01,L3,0.9709317033081056
2020-01-01,L3,0.935648154296875
2020-02-01,L3,0.9003646052856445
2020-03-01,L3,0.8650810562744141
2020-04-01,L3,0.8297975072631836
2020-05-01,L3,0.7945139582519531
2020-06-01,L3,0.8377240039367676
2020-07-01,L3,0.8809340496215821
2020-08-01,L3,0.842108603881836
2020-09-01,L3,0.6105813248291015
